Band_Album,Rating,ratings,reviews,lists,comments,id
Brand New_Science Fiction,4,491,0,26,5793,1080
Brand New_Science Fiction,4,2,0,0,0,1053
Brand New_Science Fiction,1,34,0,1,0,2327
Brand New_Science Fiction,4.5,17,0,0,0,2619
Brand New_Science Fiction,4,45,0,5,140,1638
Brand New_Science Fiction,3.5,1644,1,19,370,2099
Brand New_Science Fiction,3.5,1045,4,0,5,903
Brand New_Science Fiction,4,875,26,0,137,2452
Brand New_Science Fiction,4.5,297,0,4,106,40
Brand New_Science Fiction,5,47,0,0,1,2125
Brand New_Science Fiction,4,335,0,0,0,719
Brand New_Science Fiction,3,5,0,0,0,16
Brand New_Science Fiction,3.5,1005,2,24,573,276
Brand New_Science Fiction,5,214,0,0,0,346
Brand New_Science Fiction,4.5,42,0,0,0,2471
Brand New_Science Fiction,2,454,0,0,258,1163
Brand New_Science Fiction,5,3,0,0,0,578
Brand New_Science Fiction,3.5,755,4,15,306,2484
Brand New_Science Fiction,3.5,574,0,0,0,1242
Brand New_Science Fiction,4.5,78,0,0,0,2296
Brand New_Science Fiction,3.5,1677,0,10,599,2378
Brand New_Science Fiction,5,16,0,0,7,1357
Brand New_Science Fiction,4,248,1,14,1892,2650
Brand New_Science Fiction,4.5,276,0,0,0,207
Brand New_Science Fiction,4.5,243,0,1,0,1090
Brand New_Science Fiction,1,9,0,0,0,456
Brand New_Science Fiction,4.5,169,0,0,0,2474
Brand New_Science Fiction,4.5,103,0,0,0,2721
Brand New_Science Fiction,4.5,116,0,0,163,1850
Brand New_Science Fiction,5,129,0,0,0,527
Brand New_Science Fiction,4.5,254,0,0,0,709
Brand New_Science Fiction,4,469,0,0,0,1269
Brand New_Science Fiction,2.5,62,0,0,0,235
Brand New_Science Fiction,3,95,0,0,0,1702
Brand New_Science Fiction,4.5,1695,0,0,37,1755
Brand New_Science Fiction,4.5,189,0,1,3,1838
Brand New_Science Fiction,4.5,708,0,0,9,1256
