Band_Album,Rating,ratings,reviews,lists,comments
Joy Division_Unknown Pleasures,4,1747,40,107,18959
Joy Division_Unknown Pleasures,4.5,637,0,0,99
Joy Division_Unknown Pleasures,3,119,0,0,0
Joy Division_Unknown Pleasures,4,696,0,2,12
Joy Division_Unknown Pleasures,5,90,0,0,0
Joy Division_Unknown Pleasures,4.5,282,2,0,8
Joy Division_Unknown Pleasures,4,3246,20,14,35835
Joy Division_Unknown Pleasures,5,26,0,0,0
Joy Division_Unknown Pleasures,5,2285,0,0,1
Joy Division_Unknown Pleasures,3,245,0,0,0
Joy Division_Unknown Pleasures,5,1509,0,0,6
Joy Division_Unknown Pleasures,4,329,0,0,0
Joy Division_Unknown Pleasures,3,289,0,0,31
Joy Division_Unknown Pleasures,3.5,796,1,2,2811
Joy Division_Unknown Pleasures,5,191,0,0,7
Joy Division_Unknown Pleasures,5,148,0,0,0
Joy Division_Unknown Pleasures,4.5,729,0,1,9
Joy Division_Unknown Pleasures,4.5,352,0,5,66
Joy Division_Unknown Pleasures,4,1227,3,32,7127
Joy Division_Unknown Pleasures,4,80,0,0,0
Joy Division_Unknown Pleasures,4.5,154,3,0,17
Joy Division_Unknown Pleasures,4.5,68,0,0,0
Joy Division_Unknown Pleasures,5,144,0,0,0
Joy Division_Unknown Pleasures,4.5,123,0,0,0
Joy Division_Unknown Pleasures,4,117,0,1,13
Joy Division_Unknown Pleasures,4.5,477,0,0,0
Joy Division_Unknown Pleasures,5,3105,0,2,6
Joy Division_Unknown Pleasures,2,430,0,1,0
Joy Division_Unknown Pleasures,4.5,1166,0,0,0
Joy Division_Unknown Pleasures,5,2439,7,34,3239
Joy Division_Unknown Pleasures,5,903,0,14,278
Joy Division_Unknown Pleasures,5,105,0,0,18
Joy Division_Unknown Pleasures,5,168,0,0,3
Joy Division_Unknown Pleasures,5,136,5,1,16
Joy Division_Unknown Pleasures,4.5,1596,0,2,138
Joy Division_Unknown Pleasures,4,735,0,6,1795
Joy Division_Unknown Pleasures,4.5,404,0,0,1
Joy Division_Unknown Pleasures,4,44,0,0,0
Joy Division_Unknown Pleasures,4.5,944,1,75,3391
Joy Division_Unknown Pleasures,5,186,0,0,0
Joy Division_Unknown Pleasures,5,1350,0,0,2
Joy Division_Unknown Pleasures,3.5,1208,1,0,60
Joy Division_Unknown Pleasures,5,1295,4,18,13996
Joy Division_Unknown Pleasures,3.5,860,0,0,86
Joy Division_Unknown Pleasures,4,159,0,0,0
Joy Division_Unknown Pleasures,5,307,0,0,0
Joy Division_Unknown Pleasures,5,527,0,0,0
Joy Division_Unknown Pleasures,5,185,0,0,0
Joy Division_Unknown Pleasures,5,348,0,1,4
Joy Division_Unknown Pleasures,5,49,0,0,0
Joy Division_Unknown Pleasures,4.5,3576,0,0,0
Joy Division_Unknown Pleasures,3,278,0,1,14
Joy Division_Unknown Pleasures,4.5,69,0,0,0
Joy Division_Unknown Pleasures,4.5,160,0,0,24
Joy Division_Unknown Pleasures,4,911,9,11,22302
Joy Division_Unknown Pleasures,4.5,222,42,0,1
Joy Division_Unknown Pleasures,4.5,641,0,0,51
Joy Division_Unknown Pleasures,3,609,67,2,1369
Joy Division_Unknown Pleasures,5,1401,0,5,17
Joy Division_Unknown Pleasures,3.5,1075,0,6,2713
Joy Division_Unknown Pleasures,5,15,0,0,0
Joy Division_Unknown Pleasures,5,399,0,0,0
Joy Division_Unknown Pleasures,4.5,138,0,0,5
Joy Division_Unknown Pleasures,4.5,661,0,7,853
Joy Division_Unknown Pleasures,4.5,14,0,0,0
Joy Division_Unknown Pleasures,5,203,0,0,0
Joy Division_Unknown Pleasures,5,389,0,0,0
Joy Division_Unknown Pleasures,5,247,0,0,0
Joy Division_Unknown Pleasures,4.5,440,0,0,9
Joy Division_Unknown Pleasures,4.5,287,0,0,0
Joy Division_Unknown Pleasures,5,1301,0,0,0
Joy Division_Unknown Pleasures,4,109,0,0,0
Joy Division_Unknown Pleasures,5,364,1,1,1637
Joy Division_Unknown Pleasures,5,448,0,12,733
Joy Division_Unknown Pleasures,4.5,1490,0,0,4
Joy Division_Unknown Pleasures,4,4342,92,41,17205
Joy Division_Unknown Pleasures,5,558,0,0,15
Joy Division_Unknown Pleasures,4.5,11,0,0,3
Joy Division_Unknown Pleasures,3.5,69,0,0,18
Joy Division_Unknown Pleasures,5,184,0,0,0
Joy Division_Unknown Pleasures,4.5,592,1,0,0
Joy Division_Unknown Pleasures,3.5,265,20,15,8858
Joy Division_Unknown Pleasures,4,330,0,1,43
Joy Division_Unknown Pleasures,5,1170,0,1,57
Joy Division_Unknown Pleasures,5,227,0,1,12
Joy Division_Unknown Pleasures,4,499,0,0,0
Joy Division_Unknown Pleasures,3,112,0,0,0
Joy Division_Unknown Pleasures,4,201,0,0,0
Joy Division_Unknown Pleasures,5,499,9,63,3536
